x1,T,P,gamma1,y1
0.001,373.07499752066633,101.325,1.6630011129212339,0.003696791577028723
0.004512562814070351,372.8120627655498,101.325,1.6578073939482205,0.01647966390880532
0.008025125628140704,372.5536776297433,101.325,1.652642685162591,0.028956256315885224
0.011537688442211053,372.29972195343873,101.325,1.6475068306923328,0.04113757874921546
0.015050251256281406,372.0500799621173,101.325,1.642399675832965,0.053034128611997425
0.018562814070351756,371.80464006080103,101.325,1.6373210670396172,0.0646559200251832
0.02207537688442211,371.5632946400298,101.325,1.63227085191918,0.07601251112472816
0.025587939698492462,371.3259398927833,101.325,1.6272488792225308,0.08711302954242588
0.029100502512562812,371.092475641623,101.325,1.62225499883684,0.09796619620898499
0.03261306532663316,370.86280517538614,101.325,1.6172890617779445,0.10858034760609363
0.03612562814070351,370.63683509481365,101.325,1.6123509201827984,0.11896345658345651
0.03963819095477387,370.41447516653864,101.325,1.607440427302,0.12912315184702183
0.04315075376884422,370.1956381849047,101.325,1.6025574374923823,0.13906673621577653
0.04666331658291457,369.98023984112166,101.325,1.597701806209687,0.14880120373644426
0.050175879396984924,369.76819859930225,101.325,1.5928733900013003,0.1583332557381467
0.05368844221105527,369.5594355789547,101.325,1.5880720464990672,0.16766931590242204
0.05720100502512562,369.3538744435375,101.325,1.583297634412171,0.17681554441798877
0.06071356783919597,369.1514412947083,101.325,1.5785500135200863,0.18577785128410315
0.06422613065326632,368.9520645719269,101.325,1.5738290446655998,0.19456190882137217
0.06773869346733667,368.7556749570933,101.325,1.5691345897479017,0.20317316344427988
0.07125125628140702,368.5622052839245,101.325,1.5644665117157421,0.21161684674550932
0.07476381909547739,368.3715904517943,101.325,1.5598246745606628,0.21989798593831122
0.07827638190954773,368.18376734377637,101.325,1.5552089433102871,0.22802141369966356
0.08178894472361808,367.99867474865204,101.325,1.550619184021686,0.23599177745377284
0.08530150753768843,367.81625328665564,101.325,1.5460552637748035,0.24381354813250486
0.08881407035175878,367.63644533874844,101.325,1.5415170506659535,0.25149102844666166
0.09232663316582913,367.45919497922284,101.325,1.5370044138013819,0.2590283606995086
0.09583919597989948,367.2844479114037,101.325,1.5325172232908888,0.26642953417123744
0.09935175879396985,367.1121514065883,101.325,1.528055350241525,0.2736983921044049
0.1028643216080402,366.94225424523756,101.325,1.523618666751342,0.2808386383076669
0.10637688442211055,366.77470666142517,101.325,1.5192070459032163,0.2878538434120648
0.1098894472361809,366.6094602894847,101.325,1.514820361758732,0.29474745079299297
0.11340201005025125,366.44646811311134,101.325,1.5104584893521256,0.3015227821816942
0.1169145728643216,366.2856844167224,101.325,1.5061213046842965,0.30818304298444527
0.12042713567839194,366.1270647389593,101.325,1.5018086847168821,0.31473132732699044
0.1239396984924623,365.9705658282198,101.325,1.4975205073663875,0.3211706228405556
0.12745226130653264,365.81614560011667,101.325,1.4932566514983856,0.32750381520469546
0.130964824120603,365.66376309676474,101.325,1.4890169969217706,0.33373369246123213
0.13447738693467334,365.5133784478031,101.325,1.48480142438308,0.33986294911253306
0.1379899497487437,365.3649528330666,101.325,1.4806098155608707,0.3458941900166121
0.14150251256281404,365.21844844682363,101.325,1.47644205306016,0.35182993409061303
0.1450150753768844,365.07382846350356,101.325,1.4722980204069234,0.3576726178335684
0.14852763819095477,364.93105700484034,101.325,1.4681776020426551,0.3634245986786145
0.1520402010050251,364.7900991083639,101.325,1.4640806833189826,0.36908815818414714
0.15555276381909547,364.65092069717383,101.325,1.4600071504923475,0.37466550507287955
0.1590653266331658,364.51348855093437,101.325,1.4559568907187372,0.38015877812715065
0.16257788944723617,364.3777702780324,101.325,1.4519297920484802,0.3855700489483264
0.1660904522613065,364.2437342888438,101.325,1.4479257434210973,0.39090132458765503
0.16960301507537687,364.1113497700558,101.325,1.4439446346602105,0.39615455005550115
0.17311557788944723,363.98058665999724,101.325,1.4399863564685091,0.4013316107154283
0.17662814070351757,363.8514156249285,101.325,1.436050800422773,0.4064343345692507
0.18014070351758793,363.72380803624947,101.325,1.4321378589689526,0.41146449443876554
0.18365326633165827,363.59773594858143,101.325,1.4282474254173065,0.41642381004959583
0.18716582914572863,363.4731720786853,101.325,1.424379393937592,0.4213139500221719
0.19067839195979897,363.3500897851774,101.325,1.420533659554314,0.4261365337746655
0.19419095477386933,363.2284630490076,101.325,1.4167101181420307,0.4308931333423754
0.1977035175879397,363.10826645466733,101.325,1.4129086664207104,0.43558527511777984
0.20121608040201003,362.9894751720932,101.325,1.4091292019511483,0.44021444151527983
0.2047286432160804,362.8720649392373,101.325,1.4053716231304338,0.44478207256438673
0.20824120603015073,362.7560120452757,101.325,1.4016358291874753,0.4492895674349168
0.2117537688442211,362.64129331442643,101.325,1.3979217201785776,0.4537382858975545
0.21526633165829143,362.52788609035207,101.325,1.394229196983075,0.45812954972294606
0.2187788944723618,362.41576822112063,101.325,1.3905581612990168,0.4624646440223004
0.22229145728643213,362.30491804470364,101.325,1.3869085156389074,0.46674481853238375
0.2258040201005025,362.19531437498637,101.325,1.3832801633254983,0.47097128884750566
0.22931658291457285,362.0869364883641,101.325,1.3796730084876365,0.47514523760272376
0.2328291457286432,361.97976411030857,101.325,1.3760869560561617,0.4792678156002183
0.23634170854271355,361.8737774034654,101.325,1.3725219117598606,0.4833401429087462
0.2398542713567839,361.7689569550172,101.325,1.3689777821214695,0.48736330989905163
0.24336683417085425,361.6652837651011,101.325,1.3654544744537338,0.4913383782487962
0.2468793969849246,361.56273923548423,101.325,1.3619518968555158,0.4952663819053311
0.2503919597989949,361.4613051586231,101.325,1.3584699582079567,0.4991483280106174
